"0 nothing
","1 someone
"
1,[0.00000113 0.9999989 ]
1,[0.00000009 0.9999999 ]
1,[0.00000239 0.9999976 ]
1,[0.00000002 1.        ]
1,[0.0009941 0.999006 ]
1,[0.00034729 0.99965274]
1,[0.00003673 0.9999633 ]
1,[0.00000066 0.9999993 ]
1,[0.00005245 0.99994755]
1,[0.00057227 0.99942774]
1,[0.00045688 0.9995432 ]
1,[0.00032054 0.99967945]
1,[0.00025569 0.99974436]
1,[0.00004189 0.99995816]
1,[0.00000902 0.99999094]
1,[0.00000086 0.99999917]
1,[0.00000086 0.99999917]
1,[0.00000028 0.99999976]
1,[0.00000029 0.99999976]
1,[0.00000405 0.99999595]
1,[0.00001702 0.99998295]
1,[0.00001207 0.99998796]
1,[0.00002403 0.9999759 ]
1,[0.0000016  0.99999845]
1,[0.00000127 0.9999987 ]
1,[0.00000403 0.99999595]
1,[0.00000162 0.99999833]
1,[0.00000427 0.9999957 ]
1,[0.00000029 0.99999976]
1,[0.00000128 0.9999987 ]
1,[0.00000419 0.9999958 ]
1,[0.00000009 0.9999999 ]
1,[0.00000091 0.99999905]
1,[0.00000243 0.9999976 ]
1,[0.00000228 0.99999774]
1,[0.00001973 0.9999802 ]
1,[0.00000286 0.99999714]
1,[0.0000113 0.9999887]
1,[0.00001196 0.9999881 ]
1,[0.00003142 0.9999685 ]
1,[0.0000039  0.99999607]
1,[0.00001073 0.9999893 ]
1,[0.00000477 0.99999523]
1,[0.00000272 0.99999726]
1,[0.00001074 0.9999893 ]
1,[0.00000286 0.99999714]
1,[0.00001859 0.9999814 ]
1,[0.00000867 0.9999913 ]
1,[0.00000365 0.9999963 ]
1,[0.00000063 0.9999994 ]
1,[0.00000016 0.9999999 ]
1,[0.00000036 0.99999964]
1,[0.00000068 0.9999993 ]
1,[0.00000004 1.        ]
1,[0.00000023 0.99999976]
1,[0.0000008  0.99999917]
1,[0.00000005 1.        ]
1,[0.00000011 0.9999999 ]
1,[0.0000001 0.9999999]
1,[0.00000026 0.99999976]
1,[0.00000023 0.99999976]
1,[0.00000007 0.9999999 ]
1,[0.00000044 0.9999995 ]
1,[0.00000009 0.9999999 ]
